k
8.09211808037852E-05
6.56165813186847E-05
4.37643638631529E-05
3.1963458003096E-05
3.1243817059836E-05
5.8383829276396E-05
5.12427521603969E-05
6.56165813186847E-05
5.12427521603969E-05
9.3222629781358E-05
5.12427521603969E-05
3.73705295380997E-05
5.33333702294616E-05
3.1963458003096E-05
3.84536651824035E-05
2.73721266710865E-05
4.37643638631529E-05
3.73705295380997E-05
8.09211808037852E-05
5.56925827167128E-05
4.89015726953533E-05
8.09211808037852E-05
2.30345832416977E-05
7.64173909990214E-05
5.8383829276396E-05
4.89015726953533E-05
6.56165813186847E-05
5.56925827167128E-05
4.52864611319198E-05
4.37643638631529E-05
2.73721266710865E-05
3.63778172961318E-05
8.30381330224379E-05
3.84536651824035E-05
3.1963458003096E-05
0.0001134600490919210
4.52864611319198E-05
3.84536651824035E-05
4.69846769311678E-05
3.73705295380997E-05
3.1243817059836E-05
6.91959477278535E-05
3.1963458003096E-05
5.8383829276396E-05
7.24910227225643E-05
4.23916560400091E-05
5.33333702294616E-05
3.73705295380997E-05
3.73705295380997E-05
4.52864611319198E-05
4.52864611319198E-05
3.73705295380997E-05
6.56165813186847E-05
4.52864611319198E-05
8.77765847968079E-05
3.84536651824035E-05
4.69846769311678E-05
4.93785725369901E-05
3.27356281613051E-05
5.33333702294616E-05
0.0001384199298875670
3.1963458003096E-05
3.63778172961318E-05
3.27356281613051E-05
4.52864611319198E-05
3.1963458003096E-05
4.37643638631529E-05
4.52864611319198E-05
5.8383829276396E-05
4.69846769311678E-05
3.73705295380997E-05
3.73705295380997E-05
3.1243817059836E-05
3.1243817059836E-05
5.33333702294616E-05
3.73705295380997E-05
2.73721266710865E-05
3.1963458003096E-05
3.1963458003096E-05
4.89015726953533E-05
4.69846769311678E-05
2.68458483219933E-05
4.23916560400091E-05
3.84536651824035E-05
4.52864611319198E-05
5.8383829276396E-05
3.96455706143501E-05
4.37643638631529E-05
4.69846769311678E-05
3.63778172961318E-05
3.84536651824035E-05
9.3222629781358E-05
5.9743175554467E-05
4.52864611319198E-05
3.73705295380997E-05
3.84536651824035E-05
8.09211808037852E-05
5.56925827167128E-05
4.52864611319198E-05
4.23916560400091E-05
2.73721266710865E-05
4.52864611319198E-05
5.56925827167128E-05
2.68458483219933E-05
2.68458483219933E-05
4.52864611319198E-05
9.3925292337671E-05
3.84536651824035E-05
5.33333702294616E-05
3.84536651824035E-05
2.73721266710865E-05
6.24926615402544E-05
8.61467549753624E-05
4.37643638631529E-05
4.69846769311678E-05
5.56925827167128E-05
3.1963458003096E-05
2.68458483219933E-05
4.37643638631529E-05
2.30345832416977E-05
7.33412613967132E-05
4.69846769311678E-05
6.91959477278535E-05
7.24910227225643E-05
6.91959477278535E-05
3.1963458003096E-05
3.73705295380997E-05
3.63778172961318E-05
6.91959477278535E-05
5.56925827167128E-05
3.73705295380997E-05
4.52864611319198E-05
3.84536651824035E-05
7.24910227225643E-05
9.95702987638795E-05
3.1963458003096E-05
3.84536651824035E-05
8.77765847968079E-05
6.56165813186847E-05
4.69846769311678E-05
3.84536651824035E-05
4.52864611319198E-05
3.73705295380997E-05
9.3222629781358E-05
3.73705295380997E-05
5.33333702294616E-05
5.33333702294616E-05
2.73721266710865E-05
2.73721266710865E-05
3.27356281613051E-05
5.12427521603969E-05
2.68458483219933E-05
3.84536651824035E-05
3.73705295380997E-05
9.95702987638795E-05
3.73705295380997E-05
5.56925827167128E-05
3.96455706143501E-05
7.64173909990214E-05
3.73705295380997E-05
4.52864611319198E-05
4.52864611319198E-05
2.68458483219933E-05
3.96455706143501E-05
5.56925827167128E-05
3.84536651824035E-05
2.30345832416977E-05
3.73705295380997E-05
3.73705295380997E-05
3.73705295380997E-05
3.1963458003096E-05
3.73705295380997E-05
3.27356281613051E-05
2.73721266710865E-05
3.1963458003096E-05
3.27356281613051E-05
3.27356281613051E-05
3.73705295380997E-05
9.3222629781358E-05
3.84536651824035E-05
6.24926615402544E-05
8.09211808037852E-05
3.63778172961318E-05
5.33333702294616E-05
5.56925827167128E-05
3.96455706143501E-05
3.1963458003096E-05
4.52864611319198E-05
3.84536651824035E-05
0.0001134600490919210
4.37643638631529E-05
6.56165813186847E-05
6.56165813186847E-05
5.33333702294616E-05
5.33333702294616E-05
4.52864611319198E-05
5.8383829276396E-05
2.30345832416977E-05
3.84536651824035E-05
6.24926615402544E-05
5.56925827167128E-05
5.33333702294616E-05
6.91959477278535E-05
4.37643638631529E-05
3.73705295380997E-05
3.1963458003096E-05
5.56925827167128E-05
3.63778172961318E-05
5.56925827167128E-05
5.56925827167128E-05
3.84536651824035E-05
4.37643638631529E-05
4.37643638631529E-05
0.0001134600490919210
3.27356281613051E-05
5.56925827167128E-05
4.69846769311678E-05
3.73705295380997E-05
5.33333702294616E-05
